time,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,q_slow_w,q_slow_x,q_slow_y,q_slow_z,omega_slow_x,omega_slow_y,omega_slow_z
40.00289034843445,-0.370167404321753,-0.1113981087598331,0.2118965209274991,-0.8975892312238662,0.6770495176315308,0.1107229590415954,-0.1045616641640663,-0.36764699400889855,-0.12079194217172798,0.2241104971796555,-0.8944380803367501,0.4572602599268643,0.15545352548360825,-0.11301757441833618
40.009324073791504,-0.3699289585263026,-0.1129558299390154,0.2108755187906787,-0.8977332680786523,0.5947638154029846,-0.2957881987094879,-0.0926791802048682,-0.367871576781952,-0.12090165039248502,0.22266320436256343,-0.8946923445248256,0.4596573748375948,0.16658900950740024,-0.11825383046823669
40.01560878753662,-0.3696502835639484,-0.1145394977718123,0.2098034504785314,-0.897898568018512,0.5322032570838928,-0.4087127149105072,-0.0619676150381564,-0.36813272870258196,-0.12093877547111176,0.22112697436328851,-0.8949608750411813,0.46761434325357765,0.18543020345088912,-0.12438366208906944
40.01799774169922,-0.369500514737765,-0.1152526171802606,0.2091037759147581,-0.8980322367485642,0.4403440952301025,-0.2925471067428589,-0.0474436990916728,-0.3684099163586443,-0.12093777103998997,0.219560486602372,-0.8952325853025154,0.47223836928606033,0.20420058489572712,-0.12861479260027409
40.0244665145874,-0.369560489703196,-0.1153887567693068,0.2080750925147966,-0.8982289360905646,0.4560536742210388,0.0690144896507263,-0.0715118497610092,-0.36870134332956683,-0.12090408546143994,0.21798448220571012,-0.8955022540804766,0.4724024623268988,0.21766801741791936,-0.1324675579714339
40.034122705459595,-0.3694789355513274,-0.1181080556301615,0.2045514421235358,-0.8987183031486246,0.8752046823501587,-0.209400549530983,-0.1311131417751312,-0.3689988725698238,-0.12089143372424788,0.21645625130602017,-0.8957520776223965,0.4659843656018649,0.22397714580704525,-0.13842386030024145
40.040817737579346,-0.3691878061952385,-0.1208294776385099,0.2036928265256719,-0.8986711618985651,0.7683032155036926,-0.8853940963745117,-0.1762076169252394,-0.3692996263155211,-0.1208591677865987,0.21491404208293202,-0.8960037957959347,0.46426087085770945,0.23267901688814163,-0.14128676479364313
40.04400181770325,-0.3687689297413129,-0.1240889831934409,0.2033593237817612,-0.8984746100705345,0.6577677130699158,-1.0446181297302246,-0.1954196989536284,-0.369601950971887,-0.1208115620887387,0.2133384881678723,-0.8962620452578031,0.46785694046695603,0.2423989919991028,-0.14316309974869576
40.05135536193848,-0.3684259597615555,-0.1269907805425258,0.2033617393230165,-0.8982091481451887,0.4421893060207367,-1.1394881010055542,-0.1749711036682127,-0.3699003939938015,-0.12075424399564091,0.21170301266856542,-0.8965344084346819,0.4837316032442287,0.25425300092958825,-0.14424925992583357
40.05569410324097,-0.3681302153255546,-0.1291415526612829,0.2033278348175675,-0.8980314148850183,0.3138288259506225,-0.9320266842842102,-0.1365923136472701,-0.3701849618275015,-0.12070378337292953,0.2100824647944514,-0.896804911171945,0.4934446322334158,0.26595308304559895,-0.1440409224298669
40.06165671348572,-0.3680183997364551,-0.1302828050252609,0.203364755456863,-0.8979040892556669,0.221084177494049,-0.5890983939170837,-0.0926144272089003,-0.37047905099894923,-0.12062986597188474,0.20847115795085894,-0.8970693866748275,0.4897699273793345,0.275005929535482,-0.14545169386376694
40.06483006477356,-0.367841593706952,-0.1314091874542486,0.2028236663131461,-0.8979348143082313,0.2566066086292267,-0.3505567610263824,-0.0816532149910926,-0.37078240491065206,-0.12052865717389118,0.20687512895700508,-0.8973271042532676,0.48198406338669,0.28233258044574316,-0.14870237218352353
40.07204723358154,-0.3677016872433201,-0.1325497786395406,0.2025725843656765,-0.8978810138561072,0.2259092926979065,-0.3400559425354004,-0.0907844901084899,-0.371090914644754,-0.1204238700584653,0.20523579113625406,-0.8975900481984733,0.4947424783064734,0.2928145864024395,-0.15014896092073218
40.07794737815857,-0.367267911878446,-0.1353197195730592,0.2016912226405069,-0.8978438403357205,0.3676557838916778,-0.4330728948116302,-0.0983030647039412,-0.3714035409220043,-0.12031152827952556,0.20356980959040355,-0.8978551545639023,0.5043462970487137,0.3002219579932166,-0.15274665527409167
40.08418583869934,-0.3671423985635805,-0.1368200156711454,0.2002317457652034,-0.8979944731722985,0.6289275288581848,-0.3663757145404815,-0.1368542313575744,-0.3717198151408685,-0.12019716178466293,0.20187025061087552,-0.8981232784249903,0.512846541608025,0.30709969361380834,-0.15596956691545683
40.08935284614563,-0.3675462496660119,-0.1368748724286604,0.2007013433171338,-0.8977160510910356,0.2145304679870605,-0.169865682721138,-0.1936288475990295,-0.37204765306981347,-0.12006702444908958,0.20015757321404354,-0.898388223080785,0.5201837454479551,0.3151050695195431,-0.15879043196214407
40.09733510017395,-0.3684447783294156,-0.1351054897762563,0.2036639453977298,-0.8969480933643186,-0.9401831030845642,0.1144625470042228,-0.1787940412759781,-0.3723780153251366,-0.11992917679362382,0.19846947866969158,-0.8986442412282499,0.525965272420563,0.3204271457180744,-0.1621949584109754
40.102871894836426,-0.3692625536310726,-0.1333389836462632,0.2054726826699308,-0.8964636153406859,-1.141291618347168,0.436759889125824,-0.1628967523574829,-0.37271345996219213,-0.11978819831369936,0.19678519188545482,-0.898894350055875,0.5284629687155802,0.32386647691813913,-0.1644133791418337
40.10540580749512,-0.3700453470484654,-0.1316482865258509,0.2066526653535123,-0.8961194020288974,-0.574557900428772,0.4646369516849518,-0.1598452925682068,-0.37305384364159533,-0.11964819748868882,0.1950977943528315,-0.8991395827237283,0.5287685457378535,0.32216884940862656,-0.16689221093022238
40.11272096633911,-0.3702449123761644,-0.1312470696014515,0.2054101341125626,-0.8963814289860895,0.181625097990036,0.4239826202392578,-0.0853066593408585,-0.3733922270616551,-0.119509352962077,0.1933922001811181,-0.8993860218135645,0.5324145008003476,0.3237936589412573,-0.16837167126558172
40.115620851516724,-0.3703377829568582,-0.1305491862787399,0.2042648303827715,-0.8967066551426238,0.2564247250556946,0.4799451231956482,-0.0225558523088694,-0.37373756627699123,-0.11936117321817627,0.19166438551570372,-0.8996320943620342,0.538300322817366,0.33090866538809566,-0.17075782728086156
40.12099289894104,-0.3706564974252976,-0.1292617212289216,0.2034087067173258,-0.8969559958984143,0.2345649898052215,0.6471453905105591,-0.0893747359514237,-0.37409201439094486,-0.11917463697966835,0.1899280619552034,-0.8998777149988935,0.5554992139918684,0.3528951426468244,-0.1732995425146527
40.13165044784546,-0.3719804563775703,-0.1256357725337907,0.1999708646754551,-0.8976959681177201,0.3379153609275818,1.0007328987121582,-0.1511058062314988,-0.3744616487777321,-0.11895189425350544,0.18814486572983513,-0.9001280075342993,0.5703652913102926,0.37672817834266803,-0.17613232358381514
40.13485932350159,-0.3728585859662948,-0.1232222121803901,0.1982311059891982,-0.8980519825470916,0.2614406943321228,1.1719220876693726,-0.1663851886987687,-0.3748433970697004,-0.11871756311739168,0.18635303440036605,-0.9003727641652045,0.5778185628388622,0.38921928532966754,-0.18023275306857212
