epoch,seg_len,stride,train_total,train_q,train_w,train_unity,train_kin,val_total,val_q,val_w,val_unity,val_kin,val_angle_deg,is_best
1,50,10,0.44623377118537677,0.004403273239083106,0.43601715394216983,0.012170713429631138,0.004596272438581551,0.35016562291279535,0.00042181219262551914,0.3496529134400351,0.0004165070162094686,4.924681191916519e-05,2.094833879535862,1
2,50,10,0.3299771281913738,0.00043723052383495484,0.32906694991968166,0.0003352171917496926,0.00043942597266101273,0.3043438909368639,0.00021520221517629164,0.30409710601628087,8.76734702750392e-05,2.281488540954556e-05,1.4545072762772524,1
3,50,10,0.30243929983371526,0.00023488287484697276,0.3020462275885824,0.0001021561396039793,0.00014797316543990746,0.28968346806246525,0.00016873715861766297,0.28949350164827914,4.2367325326695145e-05,1.6991638792346175e-05,1.2589847798385905,1
4,50,10,0.28561868863319284,0.0001827029425034587,0.28535565214963693,5.00458803102293e-05,7.533009372323181e-05,0.2675576440237061,0.000156552964576863,0.26738381068010325,2.359211339748048e-05,1.4923049193988263e-05,1.2040008703374891,1
5,50,10,0.2695265785230333,0.00015932337675024686,0.26931474702571756,2.8120872600957408e-05,4.969611360699596e-05,0.2608918376169956,0.00014319796371843865,0.26073285052292994,1.472456024845776e-05,1.4316367153815747e-05,1.1302469112233058,1
6,50,10,0.25883895336692014,0.0001475604153145568,0.25865046768935757,1.7586902220102448e-05,3.91672914593616e-05,0.24963218917849636,0.00013564254388433864,0.249481782843737,8.316170730936361e-06,1.3928981211412701e-05,1.086398256024587,1
7,50,10,0.2479255561211809,0.00013886312920824897,0.2477524712014554,1.144857557181837e-05,3.307698014269314e-05,0.24332563223413112,0.00013444635363231295,0.24317644772068434,8.245562605108978e-06,1.3915416431172812e-05,1.0853808970460224,1
8,50,10,0.2368132266683958,0.0001345848698957837,0.23664748260927437,8.263345236302295e-06,3.0334081605165985e-05,0.23191974147165775,0.00012606464754314446,0.23177932399588938,5.251985716238928e-06,1.3826283508070298e-05,1.0360653841635934,1
9,50,10,0.23043377986594812,0.00012980476107195816,0.23027480441835982,6.095366051797543e-06,2.856069593111155e-05,0.23060855060649524,0.00012520584115419036,0.23046920361240975,5.380678940815737e-06,1.3604961365378584e-05,1.0306217022660498,1
10,50,10,0.224996407530201,0.00012714395057601132,0.22484127695287637,4.896792568760433e-06,2.7496075423883822e-05,0.22292650715948556,0.00012209220399349115,0.22279033581255683,3.739713493406968e-06,1.3704271825987805e-05,1.0100917274805603,1
11,50,10,0.21837080058766833,0.0001236365242039933,0.21821983937007278,4.471867560457226e-06,2.6877755649976864e-05,0.21794535740701884,0.00012059511580162088,0.21781075641891637,3.2341834393192823e-06,1.3682598090788869e-05,1.0021372269712023,1
12,50,10,0.21098665047937365,0.00012308109341859955,0.21083673716184512,4.27344737735398e-06,2.640462180940418e-05,0.21247064629402207,0.00012747091954612674,0.21232906598262882,3.6475325103133702e-06,1.3746171940726368e-05,1.0489904968471018,1
13,50,10,0.20554821252526334,0.0001207669869364142,0.205401076013176,3.814815645862619e-06,2.5988725257721215e-05,0.20869711047917217,0.00011692243291858857,0.20856632089031016,2.223024536506634e-06,1.3643867187304553e-05,0.9779117677201414,1
14,50,10,0.20178219572228578,0.00011848359386406523,0.20163764830548964,3.618303037399356e-06,2.5701020468428642e-05,0.20590962828942433,0.00011646555806506542,0.20577917966278014,3.8118464605437113e-06,1.3600070835317347e-05,0.9753408383598848,1
15,50,10,0.1982190691268266,0.00011776316586206551,0.19807537474590747,3.400724087093218e-06,2.5590941731934436e-05,0.20217781105140537,0.00011313627939707364,0.2020507877148683,3.3850838199930287e-06,1.3547783611359885e-05,0.9536739032385294,1
16,50,10,0.1939100724695927,0.00011643888709709901,0.1937678775087518,3.4679655320713265e-06,2.5409784097634535e-05,0.20114920874485967,0.00011301402593346489,0.20102231925086655,6.223377328593224e-06,1.3253113066598183e-05,0.9559232286984183,1
17,50,10,0.19010923587860754,0.00011503196268432787,0.1899687095512798,3.416283876296024e-06,2.5153266963104727e-05,0.19899316427689934,0.0001110463051212881,0.19886863845073136,1.9815579972159475e-06,1.328115550151392e-05,0.9431307526087066,1
18,50,10,0.18715487390904878,0.00011281135374163532,0.18701678603442748,3.1307231930481772e-06,2.496345705684015e-05,0.19559008203636247,0.00010940163502736266,0.19546684524840033,2.455520317941128e-06,1.3589466700814984e-05,0.9316301887181703,1
19,50,10,0.1842811742973565,0.00011236837128842185,0.1841434598413866,3.0224723423767743e-06,2.5043978428186338e-05,0.19170214566508953,0.00010933136513235275,0.19157890458138035,4.341466230738535e-06,1.3475492723549565e-05,0.9338657769148792,1
20,50,10,0.17960634367976022,0.00011103286890635053,0.1794702077831202,2.9236046535217283e-06,2.4810692091488084e-05,0.1918074079481475,0.00010867776634703954,0.19168519965440534,2.068068565166808e-06,1.332477333965156e-05,0.925506789161046,0
21,100,20,0.14639674738049507,0.000101226995466277,0.14627013869583608,2.4098583764953218e-06,2.5141351052297978e-05,0.13381624290291566,8.893298412805499e-05,0.1337164317413887,1.8053921632983802e-06,1.0698675191775037e-05,0.8447106166655973,1
22,100,20,0.14091944709420204,9.928219224093482e-05,0.1407950024306774,2.3386430871141784e-06,2.4929539304139325e-05,0.13440444872986457,8.867647937120818e-05,0.13430485669870554,2.5530195431224316e-06,1.0659700887038565e-05,0.8441087859757939,0
23,100,20,0.13984843783080578,9.881965768727242e-05,0.1397244980186224,2.3619778210104413e-06,2.488412186721689e-05,0.1334430732249473,8.763775194836752e-05,0.13334461434842637,2.3285471741372202e-06,1.0586473034106026e-05,0.8370662391555975,1
24,100,20,0.1368804533034563,9.639079613407375e-05,0.13675960280001165,2.357920386657497e-06,2.422499936983513e-05,0.13142664458440698,8.715369610021162e-05,0.13132851982709043,2.926193389883462e-06,1.0678188424795701e-05,0.8343641068624413,1
25,100,20,0.13454744562506676,9.699291378638008e-05,0.1344254594296217,2.320334596106477e-06,2.476237006703741e-05,0.13062836835103006,8.821282794291258e-05,0.13052933814918033,1.5997196248706206e-06,1.0657442937643406e-05,0.8376592312540326,1
