time_step,quat_err_w,quat_err_x,quat_err_y,quat_err_z,quat_total_err,omega_err_x,omega_err_y,omega_err_z,omega_rmse_t
19,0.00019031763,0.0042473823,0.003162682,-0.0010700822,0.005405933,0.0051171556,0.026664257,-0.027912587,0.0224817
20,0.00042271614,0.0029907972,0.0026773214,-0.000577271,0.004077358,0.020388924,0.04278539,-0.0041481555,0.027468193
21,0.00039887428,0.0021394193,0.000915885,-0.00011271238,0.0023638455,0.051179744,0.036542043,0.004685253,0.03640805
22,0.00073236227,0.0019012168,0.00067932904,0.0002886653,0.0021669783,0.06519884,0.04103543,0.012234092,0.045035053
23,0.0011333823,0.0025319532,0.0010238141,0.0005091429,0.0030004606,0.0530157,0.052443013,0.025822818,0.045562238
24,0.0012812614,0.00227838,0.0011058897,0.000664711,0.0029150436,0.039117828,0.054738835,0.03992775,0.045169197
25,0.001346767,0.002262503,0.0013432652,0.0006747246,0.0030318832,0.02848357,0.0394945,0.046198756,0.038753297
26,0.0013417006,0.0022293776,0.0013734102,0.000664413,0.0030162865,0.019918654,0.019900694,0.04035783,0.028410941
27,0.0016468167,0.0035101622,0.0011631548,0.00082039833,0.0041302815,0.022057556,0.009399906,0.035024166,0.024505688
28,0.0020207763,0.0053322613,0.0017688274,0.0007932186,0.006022831,0.02487582,0.021481603,0.04018119,0.029971063
29,0.0020645857,0.0063754767,0.0042706877,0.00015109777,0.007948007,0.03264938,0.047017068,0.046074092,0.042424083
30,0.0015457869,0.0056915283,0.00387536,-0.000169456,0.0070590423,0.026518885,0.049149394,0.036334872,0.038467027
31,0.0010504127,0.0044890344,0.001949817,-6.186962e-05,0.005006037,0.006979037,0.048852667,0.012362063,0.029371815
32,0.001296103,0.0035334006,0.0012843311,0.00044077635,0.004001074,-0.038637877,0.026900515,0.0068779886,0.027470166
33,0.002177775,0.0033617392,0.0024564415,0.0010301471,0.004810333,-0.044121873,0.009544283,0.009248763,0.02660434
34,0.0028255582,0.0042740703,0.0027510524,0.0014427304,0.005991762,-0.020770583,0.00851503,-2.2172928e-05,0.012960495
35,0.00073581934,0.001160264,0.0015416294,0.00017946959,0.0020727937,-0.064362,0.022730827,0.0011024773,0.03941392
36,0.0005002618,-4.2639673e-05,0.00019472837,0.0004273653,0.00068748835,-0.05804237,0.01757887,-0.014182448,0.03595866
37,0.0003376007,-0.0020897165,-0.0005314052,0.0007314086,0.0023017905,-0.039095245,-0.007979631,-0.044127285,0.034347877
38,-0.00022315979,-0.0043013543,-0.0014016479,0.0007317662,0.0045881965,-0.04442188,-0.043728173,-0.071315914,0.05468521
39,-0.00081926584,-0.0057241246,-0.001992315,0.00052785873,0.006138791,-0.057666868,-0.062237784,-0.062204897,0.06074114
40,-0.0006236434,-0.00388287,-0.0017334223,0.0003772974,0.004314246,-0.10107197,-0.08403942,-0.042372257,0.07973618
41,0.0009366274,-0.0014104098,0.0009344071,0.0008530021,0.0021135884,-0.09025429,-0.04688534,-0.03499359,0.062098373
42,-0.00064373016,-0.003945783,-0.0001603216,1.5676022e-05,0.0040011923,-0.05619714,0.0016201138,-0.043249667,0.040952317
43,-0.0012526512,-0.0054034367,-0.0010879934,-0.00011134148,0.005653529,-0.060983244,0.0050786287,-0.047109723,0.044587273
44,-0.0018721223,-0.0066160783,-0.0014834106,-0.00039929152,0.007045373,-0.056623317,0.00031660497,-0.05430013,0.045294605
45,-0.002879858,-0.006851569,-0.0007596016,-0.0014406443,0.0076085497,-0.07290105,0.027618513,-0.013370037,0.045665827
46,-0.0023448467,-0.00392247,-0.00028462708,-0.0014972091,0.004817336,-0.06377969,0.017224059,0.008163691,0.038432464
47,-0.0023782253,-0.0029621571,-0.00048071146,-0.0016194582,0.00415741,-0.04938283,-0.011978537,0.0019154251,0.029358804
48,-0.0024687648,-0.0029502735,-0.00087063015,-0.0016093254,0.0042599104,-0.025169818,-0.04755506,-0.014354616,0.032150988
49,-0.0023843646,-0.0029848963,-0.0011215061,-0.001465857,0.0042427955,0.012253318,-0.07163213,-0.027223289,0.04480481
50,-0.002307415,-0.0030137897,-0.0005992949,-0.0015080571,0.004128012,0.050403148,-0.06194389,-0.022821635,0.04795258
51,-0.0018798113,-0.001987785,-0.0006391406,-0.0012601018,0.003079178,0.07662388,-0.04183191,-0.013338864,0.050987102
52,-0.0010610819,-0.000982821,0.00017774105,-0.00085520744,0.0016896164,0.09977451,-0.013501942,0.013055325,0.05861654
53,-0.00084382296,0.00045360625,0.001562193,-0.0011837482,0.0021816285,0.11408517,0.009044871,0.0051740706,0.06614128
54,-0.0010256171,0.0009798855,-0.00016194582,-0.0010257959,0.0017579959,0.13125773,-0.0037805587,-0.006457567,0.07590473
55,-0.0012561083,0.0013573766,-0.0012019128,-0.0010444522,0.0024404414,0.14122885,-0.015249744,-0.02161166,0.08295623
56,-0.001198709,0.0016839504,-0.0010230988,-0.0010803938,0.0025468755,0.12536135,0.0114154965,-0.011466503,0.07297777
57,-0.00033384562,0.0054583102,-0.00072568655,-0.0009099245,0.0055909916,0.115141615,0.04948552,0.026264578,0.07392843
58,0.00024974346,0.007170148,-0.00073485076,-0.0006249547,0.007239059,0.12203902,0.053431757,0.02377899,0.07813218
59,0.00023782253,0.0070386007,-0.000848338,-0.0005941987,0.0071183713,0.12605797,0.03907889,0.019522548,0.077025756
60,7.170439e-05,0.0061383843,-0.00349693,-2.3841858e-07,0.007064943,0.13421622,0.009671748,0.022936553,0.07881121
61,-0.00047165155,0.0032895282,-0.0047860146,0.00022190809,0.005830834,0.14912528,-0.012469046,0.021636307,0.087296344
62,-0.0010654926,-0.00023444742,-0.0043783933,0.000111460686,0.004513645,0.1366974,-0.016482554,0.036133647,0.08218575
63,-0.0012770295,-0.0020081028,-0.0031002462,-0.00011128187,0.0039098836,0.10127821,-0.011893615,0.051791713,0.06603311
64,-0.0013628006,-0.0026880428,-0.002739802,-0.00016760826,0.0040764455,0.09319966,-0.013577733,0.049508825,0.06143196
65,-0.0010511875,-0.0016681403,-0.0033346862,9.357929e-05,0.0038751226,0.10369578,-0.017983682,0.04552211,0.066202946
66,-0.0007095337,-0.00078609586,-0.003125161,0.00021392107,0.0033066263,0.107393205,0.00048470683,0.045249864,0.06728319
67,-0.00011944771,6.112456e-05,-0.0023448616,0.00042676926,0.0023871555,0.09905139,0.01766215,0.036969602,0.061886676
68,-0.00057291985,-0.0007823035,-6.380677e-05,-0.00037407875,0.0010412694,0.07208872,0.025618408,0.010004714,0.04454653
69,-0.0015663505,-0.0036260635,-0.00131163,-0.000531435,0.004195782,0.047104616,0.02099501,-0.0073491484,0.03007571
70,-0.0025135875,-0.0058724657,-0.004219815,-0.0003412962,0.007663374,0.033023972,0.009108981,0.00074243546,0.019783052
71,-0.0019967556,-0.0058086216,-0.0051225573,0.00031208992,0.008004068,0.062432215,0.003261216,-0.0038934052,0.03616433
72,-0.0015280843,-0.0049013644,-0.004965216,0.00054365396,0.0071629146,0.06630429,-0.0030605495,-0.006722614,0.03851761
73,-0.0009608865,-0.00321009,-0.004249871,0.0006130338,0.0054465765,0.049384877,0.0031118952,-0.0100862235,0.02915637
74,-0.0007317662,-0.0028890893,-0.0028745234,0.0004454255,0.004164566,0.0040369853,0.021506917,0.0031329393,0.012762707
75,-0.0010175705,-0.0056262016,-0.001358062,0.00026524067,0.00588254,-0.00045967847,0.024601638,0.029401973,0.022135401
76,-0.0009827018,-0.0064233243,-7.903576e-05,0.00012856722,0.0064998134,0.007637419,0.022575289,0.029201984,0.021761816
77,-0.0012004972,-0.007051237,0.00054746866,-0.00010538101,0.0071743964,0.025587216,0.009841092,0.019817606,0.019530235
78,-0.0011479259,-0.0050017238,0.0003309697,-0.00032752752,0.005152843,0.04131116,0.00831639,0.019073144,0.026705548
79,-0.0005106926,-0.0022279322,0.00025567412,-0.00017428398,0.002306563,0.0315724,-0.019127466,0.019318357,0.024054628
80,-9.012222e-05,-0.00079809874,0.001104787,-0.00020766258,0.0013815793,0.032641586,0.0013997331,0.02220951,0.022808587
81,-0.0001103282,-0.0008019954,0.0017833561,-0.00037407875,0.0019939065,0.018215515,0.024319544,0.023077354,0.022028841
82,-0.0004900098,-0.0016772747,0.0017944574,-0.0005773902,0.002570373,0.0095354915,0.035657614,0.017194435,0.023509145
83,-0.0009506345,-0.0025738776,0.0011962503,-0.0007124543,0.0030768747,0.0141486,0.040035337,0.002380088,0.024553858
84,-0.0013276339,-0.0033848807,0.001231119,-0.0009253025,0.003948654,0.015585236,0.038374558,-0.014612153,0.025357585
85,-0.0013524294,-0.0035879612,0.0017123669,-0.0010206103,0.0043216175,0.006001711,0.040442042,-0.0073611736,0.023984483
86,-0.00073605776,-0.002703309,0.0033017993,-0.0009621382,0.0044359043,-0.008336961,0.03983932,0.002347812,0.023538541
87,-6.258488e-05,-0.0006577,0.0045306385,-0.00093978643,0.00467401,-0.0022585392,0.05076048,0.014850229,0.030562814
88,-7.355213e-05,0.0014438927,0.0049601346,-0.00134027,0.005337555,0.005833894,0.03189356,0.024323568,0.02340135
89,-0.00021857023,0.0017244145,0.0048759133,-0.0014845729,0.005385152,0.016750276,0.015241042,0.030062735,0.021730388
90,-0.00022608042,0.0019981042,0.0045358688,-0.0014552474,0.005170627,0.021350175,0.009863753,0.027975082,0.021100782
91,-0.00015932322,0.002933301,0.00488165,-0.0016002059,0.0059178383,0.018177018,0.02543102,0.002067864,0.018086983
92,5.209446e-05,0.0034068376,0.005037546,-0.0015153289,0.0062675634,0.00014798343,0.042528115,0.008984134,0.025095666
93,0.00012135506,0.004083082,0.0053423345,-0.0016120076,0.0069155907,-0.014067352,0.051019944,0.009432226,0.031037033
94,0.00024855137,0.0047492906,0.0048205405,-0.0014848113,0.006932519,-0.017622426,0.038326398,-0.009330645,0.024943426
95,0.00020641088,0.0050181,0.0036183149,-0.001305759,0.006326227,-0.02163206,0.02562074,-0.029507458,0.02578797
96,2.7656555e-05,0.004384741,0.0028024614,-0.0011988282,0.0053401967,-0.025763124,-0.0032779356,-0.037025705,0.026111212
97,5.066395e-06,0.004069835,0.002308175,-0.0010697246,0.004799538,-0.031935662,-0.025014961,-0.03765677,0.03195657
98,0.0003849864,0.0039564148,0.0016212314,-0.00058448315,0.0043326025,-0.038345173,-0.035964273,-0.016132802,0.03174927
99,0.0005893111,0.0045543313,0.0023411512,-0.000646472,0.005195011,-0.032109275,-0.026112437,-0.012656316,0.024986979
100,0.0007984638,0.004405327,0.0029566884,-0.00057667494,0.0053962036,-0.013183162,-0.0005507469,-0.0014743358,0.007665349
101,0.0011849403,0.0034917444,0.0028996766,-0.00010603666,0.004692092,-0.0029393137,0.029242218,0.026730075,0.022936461
102,0.0015175939,0.0020075515,0.0017500073,0.00063097477,0.0031295381,0.020337299,0.02894456,0.002659008,0.020481402
103,0.0011065006,-3.33786e-06,0.0027771294,0.00036126375,0.003011198,0.006049469,0.022930618,-0.02576533,0.02021766
104,0.00085783005,-0.00016246736,0.0037186593,-2.1100044e-05,0.0038198351,-0.0068843067,0.009925023,-0.04749824,0.028295951
105,0.0006237626,-0.00029975176,0.00279513,-8.225441e-06,0.0028795397,-0.008733034,-0.008505464,-0.043843403,0.026273262
106,0.0007494092,0.0018156096,0.0017942339,-1.0311604e-05,0.0026603448,-0.0053194165,-0.015881866,-0.034695506,0.022243412
107,0.0010255575,0.002483897,0.0019639134,8.85129e-05,0.00332961,0.0030278862,-0.006036468,-0.016977742,0.010549104
108,0.0008338094,0.0013644695,0.002921611,-0.000105798244,0.0033322694,0.015688851,0.012506198,-0.021974549,0.017179696
109,0.0002682209,-0.00012297928,0.0040519983,-0.00058943033,0.004105263,0.018631801,0.021187544,-0.036066428,0.02643762
110,6.997585e-05,-0.001273185,0.004567802,-0.0006825924,0.004791309,0.00053983927,0.012314595,-0.030097887,0.018777855
111,0.00048828125,-0.0019028932,0.0036369264,-4.1604042e-05,0.0041338103,-0.016916797,0.0029758364,-0.01336354,0.012564736
112,0.00082218647,-0.0020669922,0.0027044564,0.00045681,0.0035314595,0.013591066,0.006843105,-0.036892056,0.02304032
113,-0.0004490018,-0.0040385127,0.0017993748,-0.00011193752,0.004445387,0.018530592,-0.003180474,-0.057761595,0.03507088
114,-0.000860095,-0.0035156384,0.0012726039,-0.0004285574,0.0038603963,-0.0005182177,-0.003959641,-0.06626071,0.038325053
115,-0.00080901384,-0.0027479306,0.00072450936,-0.0003928542,0.0029807505,-0.0072410107,-0.00043594092,-0.072144434,0.041862637
116,-0.00063312054,-0.0028072149,-0.0005336255,2.5510788e-05,0.0029268933,-0.0040456355,0.0046923906,-0.056215107,0.03265233
117,-0.00030440092,-0.0027511716,-0.0004930794,0.00028467178,0.0028259105,0.022991419,-0.0059174374,-0.055168733,0.03467569
118,-0.0006276369,-0.003047876,-0.0016420037,0.00030303,0.0035314984,0.047530383,-0.041029133,-0.07353081,0.055825043
119,-0.0008020997,-0.0037431493,-0.0026352257,0.00048023462,0.0046722125,0.046523213,-0.056542017,-0.06722684,0.057390064
120,-0.0003514886,-0.002212055,-0.0019571483,0.00046664476,0.0030108003,0.026456714,-0.049499378,-0.062431782,0.048469488
121,0.0007172227,-0.0002341941,-0.0010064691,0.0008403659,0.0015127624,0.008606836,-0.023630619,-0.04611811,0.030328006
122,0.0010102987,-0.00090985745,-2.5868416e-05,0.0009892583,0.0016816198,-0.004194692,-0.009992376,-0.038876772,0.02330126
123,-0.0005183816,-0.0042962283,-0.001412794,0.0005643368,0.0045870207,0.005561307,-0.013830423,-0.057495534,0.03429259
124,-0.0006016493,-0.0045333505,-0.0011274666,0.0004798174,0.004734412,0.010363728,-0.013736442,-0.058304697,0.035097647
125,-0.0006210804,-0.0043053403,0.0006956607,5.441904e-05,0.0044055195,0.008810252,-0.0026381612,-0.036087155,0.021500878
126,-0.00033980608,-0.0016011,0.0005506128,-0.00013077259,0.0017318386,0.010222107,-0.01597336,-0.03588295,0.023432355
127,-0.0006414652,-0.0007863194,-0.0014615655,-9.697676e-05,0.0017819522,0.02242522,-0.040955618,-0.050827384,0.03984836
128,-0.0009032488,-0.00058312714,-0.0032648295,3.182888e-05,0.0034374439,0.04234509,-0.052974775,-0.054630846,0.050279096
129,-0.0017532706,0.0003932044,-0.003489986,-0.0007740855,0.004000972,0.046057403,-0.03610456,-0.038846582,0.040554
130,-0.0016351938,0.0012981519,-0.0026819855,-0.0009925961,0.003540812,0.03868544,0.0035716295,-0.026345104,0.02710095
131,-0.0013590455,0.0017701462,-0.00025866926,-0.0013446212,0.00261827,0.02624175,0.06142737,-0.021770686,0.040562354
132,-0.0010511279,0.0024646893,2.0951033e-05,-0.0012649894,0.0029631401,0.03243445,0.070572525,-0.03494492,0.049171884
133,-0.00061523914,0.0033232272,-0.00071181357,-0.00090140104,0.0035695322,0.03547588,0.059326902,-0.038667947,0.04572902
134,-0.00080031157,0.0025135428,-0.0014736503,-0.000762403,0.0031162957,0.030917615,0.027443081,-0.06319773,0.04360036
135,-0.0010346174,0.0013398528,-0.0013408959,-0.00078475475,0.002297712,-0.002643451,0.033109188,-0.07290983,0.04625671
136,-0.0009626746,0.00059111416,-0.0001719743,-0.000841558,0.0014191383,-0.03943117,0.042113915,-0.07616222,0.055163644
137,-0.0005284548,0.0014190674,0.0006478578,-0.00079864264,0.0018304553,-0.048174307,0.058065385,-0.057742745,0.054853067
138,-0.00037407875,0.0023188144,0.0019513518,-0.0010914803,0.0032428287,-0.036788046,0.06962976,-0.05255896,0.054662928
139,-3.2544136e-05,0.0022521317,0.0025991648,-0.0009379983,0.00356492,-0.017790377,0.0701594,-0.029623479,0.04515303
140,0.00014990568,0.0016637892,0.0010157824,-0.0003720522,0.0019902017,0.003475368,0.040295795,-0.016697377,0.025262829
141,-2.69413e-05,-0.00074389577,-0.0006259978,0.0002360344,0.0010008458,-0.014189333,0.017377518,0.009346932,0.014031874
142,4.4107437e-06,-0.0016618073,-0.0008584708,0.0004697442,0.0019285369,-0.02026026,-0.0030071735,0.018005162,0.015744915
143,0.00024306774,-0.0012514293,0.0005264878,0.00030452013,0.0014124727,-0.022353232,-0.027340323,0.02872619,0.026282784
144,0.00034064054,-0.00060744584,-1.975894e-05,0.0003811717,0.0007941717,-0.009843171,-0.06562509,0.017048836,0.039556723
145,0.00086408854,0.0017566532,-0.0018501729,0.00076031685,0.002798875,0.030543223,-0.08708902,0.012645006,0.05378129
146,0.0014688373,0.0030005872,-0.0021779835,0.0010911226,0.0041346303,0.05000308,-0.101819366,0.017984658,0.06630973
147,0.0014543533,0.0024370104,-0.0019616783,0.0011279583,0.003629688,0.06583591,-0.09539965,0.01883933,0.06779966
148,6.997585e-05,-0.00067412853,-0.0014139563,0.00045967102,0.0016339878,0.07190792,-0.10216835,-0.030650645,0.07427108
149,-0.0011441112,-0.0037325472,-0.0025397092,0.00027608871,0.004665538,0.041199148,-0.109470114,-0.070375115,0.078811444
150,-0.0013579726,-0.0048683584,-0.0045847446,0.0007300973,0.0068627927,0.040145457,-0.11948467,-0.07114941,0.0835673
151,-0.0013391376,-0.0060385466,-0.0061332285,0.0012736917,0.008803188,0.10543448,-0.11362215,-0.07664001,0.099833384
152,-0.0018237233,-0.005991712,-0.006683767,0.0009940267,0.009213436,0.0838097,-0.11423984,-0.09928143,0.09988595
153,-0.001905024,-0.0063126683,-0.0070403367,0.0010563135,0.009703661,0.067673504,-0.10871692,-0.09100202,0.09070178
154,-0.0018789172,-0.006330177,-0.008040607,0.0012776852,0.0104826195,0.059776425,-0.10319266,-0.0694989,0.079691164
155,-0.001851201,-0.0072095394,-0.0092460215,0.0016998649,0.0119909495,0.043505967,-0.107916996,-0.044950113,0.07201704
156,-0.0018297434,-0.008430883,-0.009968981,0.0020807385,0.013346828,0.03218025,-0.114502445,-0.014323875,0.069165386
157,-0.0031642318,-0.012524828,-0.010390058,0.001891017,0.016685711,0.029242992,-0.10897532,-0.030150503,0.067428544
158,-0.0032679439,-0.0127860755,-0.010372415,0.001845181,0.016886529,0.027637675,-0.10509592,-0.02473329,0.06434473
159,-0.002952695,-0.009847119,-0.0110746175,0.0016647577,0.015202063,0.0382452,-0.072892725,-0.03427212,0.05148017
160,-0.0024654865,-0.008396819,-0.010037795,0.0015506744,0.01340698,0.039297506,-0.032646,-0.044719577,0.039199896
161,-0.0019872189,-0.008658037,-0.008041322,0.0015612841,0.012083505,0.011195749,-0.0023994297,-0.020874321,0.013745779
162,-0.0017525554,-0.0086937845,-0.0063357353,0.0014084578,0.010989933,-0.011008948,0.023658067,-0.007530406,0.015680222
163,-0.0015936494,-0.008559585,-0.004642695,0.001175642,0.009936949,-0.02848056,0.033990443,-0.00022296607,0.02560301
164,-0.002129376,-0.008254632,-0.001365602,9.214878e-05,0.008634035,-0.041208595,0.029050753,0.030199587,0.03393184
165,-0.0019584894,-0.006123066,0.0006925911,-0.0005404949,0.0064884075,-0.051651806,0.017055407,0.030324161,0.035955302
166,-0.0018846393,-0.0049133003,0.00094489753,-0.00074470043,0.005398129,-0.056443185,0.0013528615,0.038134143,0.03933563
167,-0.001878202,-0.005109772,0.001167804,-0.00074106455,0.0056169704,-0.04560253,-0.014921874,0.021849453,0.030439291
168,-0.0025353432,-0.0042220503,0.0034692436,-0.0017951727,0.006285855,-0.023102611,-0.007837802,0.0024000704,0.014152999
169,-0.0025002956,-0.0043511987,0.0035421401,-0.0017499328,0.0063869734,-0.016115427,0.008477047,-0.006436348,0.011150394
170,-0.0021680593,-0.004147336,0.0033204257,-0.0014892817,0.0059282426,-0.02502662,0.015821889,-0.012294337,0.018509587
171,-0.0021907687,-0.0042639226,0.003233865,-0.0014639497,0.0059650256,-0.04026705,0.0051123276,-0.024134621,0.027264453
172,-0.0022360682,-0.0044354647,0.0031304657,-0.0014432073,0.006046157,-0.051026136,-0.02156876,-0.04554999,0.041407242
173,-0.0018796921,-0.0040046275,0.0026133955,-0.0011584759,0.0052670855,-0.048361808,-0.044797257,-0.05210039,0.04851154
174,-0.0009281635,0.0009569973,0.0063456744,-0.0019143224,0.0067608836,-0.043550253,-0.0514874,-0.010448277,0.039398577
175,-0.0005660057,0.0016107559,0.0056118965,-0.0016281605,0.006087626,-0.045355886,-0.052785568,-0.023127943,0.042341366
176,-0.0001245141,0.002374217,0.0051208735,-0.001341641,0.005803081,-0.028524578,-0.048653305,-0.019171312,0.034391545
177,-1.5556812e-05,0.003281504,0.004212573,-0.0012638569,0.005487405,0.02688855,-0.056624338,-0.0076681376,0.036460526
178,-0.0004235506,0.0020005405,0.0046640113,-0.0014194846,0.005286728,0.053827405,-0.07050404,-0.0043046325,0.051272925
179,-0.00047314167,-0.0004466921,0.005633101,-0.0011795163,0.0057919323,0.045883298,-0.07539269,0.009895742,0.051274624
180,-0.00069367886,-0.0026791394,0.0070255026,-0.0011597276,0.007639479,0.030845433,-0.074420705,0.0055807233,0.046622694
181,-0.0011299253,-0.0036759079,0.007694453,-0.001401186,0.008715329,0.027606413,-0.06564738,-0.031231448,0.04489653
182,-0.0014583468,-0.0034446716,0.007598512,-0.0016641021,0.008631289,0.025112852,-0.0658393,-0.06341159,0.054731157
183,-0.0012965798,-0.0020438135,0.0059813857,-0.0015398264,0.006633727,0.04388337,-0.07551594,-0.054389328,0.059404284
184,-0.00091165304,-0.00031894445,0.004639946,-0.0013462305,0.004926893,0.06455067,-0.075993136,-0.030236363,0.06015531
185,-0.00048965216,0.0012004673,0.0042429343,-0.0012311339,0.004604244,0.06621659,-0.08185849,-0.008738875,0.060996767
186,-0.000485003,0.00052793324,0.0047648847,-0.0011857748,0.0049622706,0.051488593,-0.06659887,0.001601696,0.04861087
187,-0.00065523386,-0.00028902292,0.0034759492,-0.0009710789,0.0036794133,0.042464405,-0.06594101,0.018178344,0.046482597
188,-0.001075387,-0.0020596236,0.002834715,-0.0008710027,0.003767328,0.027478263,-0.059737742,-0.00079618394,0.037966155
189,-0.0017307401,-0.0051014125,0.0015855506,-0.0006196499,0.005649585,-0.011113033,-0.07295712,0.016124904,0.043612894
190,-0.0010047555,-0.006254643,0.0020207986,6.1392784e-05,0.006649623,-0.004882261,-0.06855227,0.035915315,0.044770375
191,-0.00017404556,-0.0061006993,0.001471892,0.0007314682,0.006320628,-0.009038508,-0.06889822,0.057208523,0.051966254
192,0.0003438592,-0.0043690056,0.0014838502,0.0007994771,0.0046954686,-0.031567447,-0.06833938,0.04405558,0.050357617
193,0.0005708337,-0.0039346963,0.004028298,0.00050866604,0.005682747,-0.0728856,-0.049914956,0.051332667,0.05898829
194,0.0004683733,-0.006666571,0.0043045133,0.0008829832,0.00799819,-0.089356214,-0.041435823,0.058304504,0.06608297
195,0.00045126677,-0.008126244,0.0032916889,0.001283586,0.008872558,-0.102549575,-0.043530412,0.06351186,0.07403843
196,0.00012129545,-0.008595541,0.0030917078,0.001152873,0.009207921,-0.097281545,-0.058370784,0.0594687,0.07395353
197,-3.1530857e-05,-0.0070474297,0.0030906945,0.0007555485,0.007732432,-0.10791892,-0.062286623,0.057793885,0.07930164
198,0.0002413392,-0.005013123,0.0039137676,0.00046634674,0.006381591,-0.1326653,-0.059688576,0.07313517,0.094006315
199,0.00068616867,-0.0026646703,0.00503698,0.00021141768,0.005743445,-0.15165871,-0.042138387,0.09168051,0.10516863
200,0.00067204237,-0.0024494678,0.005565062,8.326769e-05,0.0061178743,-0.15888517,-0.02183985,0.09455854,0.10749076
201,0.0007712841,-0.0032473505,0.0056858137,0.00027358532,0.006598749,-0.17046678,-0.013525765,0.09204754,0.11212288
202,0.000718832,-0.0044627488,0.005021602,0.00054103136,0.0067780563,-0.17399165,-0.008219535,0.090603665,0.113357365
203,-2.2351742e-05,-0.0054829717,0.002386175,0.0005685687,0.006006711,-0.16692938,0.0027196337,0.09073886,0.10970621
204,-0.00044238567,-0.0057379454,0.005027063,-9.2446804e-05,0.007641965,-0.18776345,0.0063549,0.09799801,0.12233712
205,-0.0008878112,-0.0037956387,0.005248688,-0.0007930994,0.0065858043,-0.19176972,0.01158455,0.082042396,0.12061065
206,-0.0007109046,-0.00199233,0.004872814,-0.0009226203,0.0053916886,-0.16631858,0.0054956265,0.055191115,0.10122274
207,-0.00043934584,-0.002266109,0.0049140677,-0.0006891489,0.0054727746,-0.1690746,-0.009215802,0.06871523,0.10550345
208,-0.0006107688,-0.0037479103,0.005655952,-0.0006766319,0.0068459837,-0.1906941,-0.01126937,0.09978418,0.124429524
209,-0.0006619096,-0.004092008,0.0063714013,-0.00076824427,0.0076398696,-0.19524795,0.013591597,0.09821461,0.12642863
210,-0.00047010183,-0.0036987066,0.007791735,-0.00091683865,0.008686378,-0.19602753,0.04618395,0.08938192,0.12721226
211,0.00019991398,-0.0027389675,0.009145901,-0.00080758333,0.009583402,-0.19592966,0.07080708,0.08415857,0.12972373
212,0.00027608871,0.00060774386,0.009603329,-0.0013858676,0.009725746,-0.16182244,0.04421623,0.03321573,0.09873342
213,0.00046908855,0.0011397153,0.009084992,-0.001265943,0.009255198,-0.13311148,0.007466294,0.014621049,0.07743424
214,0.00038838387,0.00042149425,0.008756526,-0.001168251,0.008852686,-0.12477806,-0.02374218,0.0068626106,0.07344011
215,0.00039625168,-2.95043e-06,0.008786552,-0.0011103153,0.0088652875,-0.13058764,-0.03143662,-0.010650426,0.07779208
