phase,start_epoch,end_epoch,seg_len,stride,num_epochs,mean_train_total,mean_val_total,mean_val_angle_deg,best_val_total_in_phase,best_epoch_in_phase
1,1,20,50,10,20,0.24013860092975609,0.23387488231977466,1.1019621326715696,0.19170214566508953,19
2,21,50,100,20,30,0.12013544949640828,0.12532200606898491,0.8013184048497654,0.11541822416626889,50
3,51,100,200,50,50,0.07082605694793165,0.07227288867533206,0.7348402595520018,0.07043517045676709,87
